Year	Category	Type	Code	Name	Substance	Unit	Factor	Margin	FactorWithMargin	ReliabilityScore	TemporalCorrelation	GeographicalCorrelation	TechnologicalCorrelation	DataCollection
2014	Summary	Commodity	111CA	Oilseeds, grains, vegetables, fruits, animal farms and aquaculture	Carbon dioxide	kg/2018 USD, purchaser price	0.543	0.055	0.598	4	2	1	4	1	
2014	Summary	Commodity	111CA	Oilseeds, grains, vegetables, fruits, animal farms and aquaculture	Methane	kg/2018 USD, purchaser price	0.027	0.001	0.028	4	2	1	1	1	
2014	Summary	Commodity	111CA	Oilseeds, grains, vegetables, fruits, animal farms and aquaculture	Nitrous oxide	kg/2018 USD, purchaser price	0.003	0	0.003	4	2	1	4	1	
2014	Summary	Commodity	111CA	Oilseeds, grains, vegetables, fruits, animal farms and aquaculture	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.004	0.001	0.005	3	2	1	4	1	
2014	Summary	Commodity	113FF	Raw forest products, wild-caught fish and game, agriculture and forestry support	Carbon dioxide	kg/2018 USD, purchaser price	0.228	0.018	0.247	4	2	1	4	1	
2014	Summary	Commodity	113FF	Raw forest products, wild-caught fish and game, agriculture and forestry support	Methane	kg/2018 USD, purchaser price	0.003	0	0.003	4	2	1	1	1	
2014	Summary	Commodity	113FF	Raw forest products, wild-caught fish and game, agriculture and forestry support	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	2	1	4	1	
2014	Summary	Commodity	113FF	Raw forest products, wild-caught fish and game, agriculture and forestry support	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.002	0	0.002	3	2	1	4	1	
2014	Summary	Commodity	211	Unrefined oil and gas	Carbon dioxide	kg/2018 USD, purchaser price	0.499	0.038	0.537	3	2	1	3	1	
2014	Summary	Commodity	211	Unrefined oil and gas	Methane	kg/2018 USD, purchaser price	0.022	0	0.022	4	2	1	1	1	
2014	Summary	Commodity	211	Unrefined oil and gas	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	3	1	
2014	Summary	Commodity	211	Unrefined oil and gas	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.004	0.001	0.005	3	2	1	4	1	
2014	Summary	Commodity	212	Metal ores, dimensional stone, nonmetallic minerals	Carbon dioxide	kg/2018 USD, purchaser price	0.521	0.112	0.633	4	2	1	4	1	
2014	Summary	Commodity	212	Metal ores, dimensional stone, nonmetallic minerals	Methane	kg/2018 USD, purchaser price	0.018	0.001	0.02	4	2	1	1	1	
2014	Summary	Commodity	212	Metal ores, dimensional stone, nonmetallic minerals	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	2	1	3	1	
2014	Summary	Commodity	212	Metal ores, dimensional stone, nonmetallic minerals	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.003	0.002	0.004	3	2	1	4	1	
2014	Summary	Commodity	213	Well drilling and support activities for mining	Carbon dioxide	kg/2018 USD, purchaser price	0.308	0	0.308	3	2	1	4	1	
2014	Summary	Commodity	213	Well drilling and support activities for mining	Methane	kg/2018 USD, purchaser price	0.008	0	0.008	4	2	1	1	1	
2014	Summary	Commodity	213	Well drilling and support activities for mining	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	2	1	3	1	
2014	Summary	Commodity	213	Well drilling and support activities for mining	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.004	0	0.004	4	2	1	4	1	
2014	Summary	Commodity	22	Electricity, natural gas, drinking water, and wastewater treatment	Carbon dioxide	kg/2018 USD, purchaser price	2.962	0	2.962	2	2	1	2	1	
2014	Summary	Commodity	22	Electricity, natural gas, drinking water, and wastewater treatment	Methane	kg/2018 USD, purchaser price	0.005	0	0.005	4	2	1	1	1	
2014	Summary	Commodity	22	Electricity, natural gas, drinking water, and wastewater treatment	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	3	2	1	2	1	
2014	Summary	Commodity	22	Electricity, natural gas, drinking water, and wastewater treatment	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.01	0	0.01	2	2	1	2	1	
2014	Summary	Commodity	23	Construction	Carbon dioxide	kg/2018 USD, purchaser price	0.26	0	0.26	3	2	1	3	1	
2014	Summary	Commodity	23	Construction	Methane	kg/2018 USD, purchaser price	0.001	0	0.001	4	2	1	1	1	
2014	Summary	Commodity	23	Construction	Nitrous oxide	kg/2018 USD, purchaser price	0	0	0	4	2	1	3	1	
2014	Summary	Commodity	23	Construction	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.019	0	0.019	4	2	1	5	1	
2014	Summary	Commodity	311FT	Food and beverage and tobacco products	Carbon dioxide	kg/2018 USD, purchaser price	0.304	0.019	0.323	3	2	1	4	1	
2014	Summary	Commodity	311FT	Food and beverage and tobacco products	Methane	kg/2018 USD, purchaser price	0.007	0	0.007	4	2	1	1	1	
2014	Summary	Commodity	311FT	Food and beverage and tobacco products	Nitrous oxide	kg/2018 USD, purchaser price	0.001	0	0.001	4	2	1	4	1	
2014	Summary	Commodity	311FT	Food and beverage and tobacco products	Other Greenhouse Gases	kg CO2e/2018 USD, purchaser price	0.005	0	0.005	4	2	1	4	1	
2014	Summary	Commodity	313TT	Textiles and textile-dervied products (except clothes)	Carbon dioxide	kg/2018 USD, purchaser price	0.226	0.027	0.253	3	2	1	3	1	
2014	Summary	Commodity	313TT	Textiles and textile-dervied products (except clothes)	Methane	kg/2018 USD, purchaser price	0.001	0	0.002	4	2	1	1	1	
