Scope	Level 1	Level 2	Level 3	Level 4	Column Text	UOM	GHG/Unit	GHG Conversion Factor 2022
Scope 1	Fuels	Gaseous fuels	Butane			tonnes	kg CO2e	3033.32000
Scope 1	Fuels	Gaseous fuels	Butane			tonnes	kg CO2e of CO2	3029.26000
Scope 1	Fuels	Gaseous fuels	Butane			tonnes	kg CO2e of CH4	2.25000
Scope 1	Fuels	Gaseous fuels	Butane			tonnes	kg CO2e of N2O	1.80000
Scope 1	Fuels	Gaseous fuels	Butane			litres	kg CO2e	1.74529
Scope 1	Fuels	Gaseous fuels	Butane			litres	kg CO2e of CO2	1.74296
Scope 1	Fuels	Gaseous fuels	Butane			litres	kg CO2e of CH4	0.00129
Scope 1	Fuels	Gaseous fuels	Butane			litres	kg CO2e of N2O	0.00104
Scope 1	Fuels	Gaseous fuels	Butane			kWh (Net CV)	kg CO2e	0.24106
Scope 1	Fuels	Gaseous fuels	Butane			kWh (Net CV)	kg CO2e of CO2	0.24074
Scope 1	Fuels	Gaseous fuels	Butane			kWh (Net CV)	kg CO2e of CH4	0.00018
Scope 1	Fuels	Gaseous fuels	Butane			kWh (Net CV)	kg CO2e of N2O	0.00014
Scope 1	Fuels	Gaseous fuels	Butane			kWh (Gross CV)	kg CO2e	0.22240
Scope 1	Fuels	Gaseous fuels	Butane			kWh (Gross CV)	kg CO2e of CO2	0.22210
Scope 1	Fuels	Gaseous fuels	Butane			kWh (Gross CV)	kg CO2e of CH4	0.00017
Scope 1	Fuels	Gaseous fuels	Butane			kWh (Gross CV)	kg CO2e of N2O	0.00013
Scope 1	Fuels	Gaseous fuels	CNG			tonnes	kg CO2e	2539.25000
Scope 1	Fuels	Gaseous fuels	CNG			tonnes	kg CO2e of CO2	2534.47000
Scope 1	Fuels	Gaseous fuels	CNG			tonnes	kg CO2e of CH4	3.44000
Scope 1	Fuels	Gaseous fuels	CNG			tonnes	kg CO2e of N2O	1.34000
Scope 1	Fuels	Gaseous fuels	CNG			litres	kg CO2e	0.44436
Scope 1	Fuels	Gaseous fuels	CNG			litres	kg CO2e of CO2	0.44353
Scope 1	Fuels	Gaseous fuels	CNG			litres	kg CO2e of CH4	0.00060
Scope 1	Fuels	Gaseous fuels	CNG			litres	kg CO2e of N2O	0.00023
Scope 1	Fuels	Gaseous fuels	CNG			kWh (Net CV)	kg CO2e	0.20227
Scope 1	Fuels	Gaseous fuels	CNG			kWh (Net CV)	kg CO2e of CO2	0.20188
Scope 1	Fuels	Gaseous fuels	CNG			kWh (Net CV)	kg CO2e of CH4	0.00028
Scope 1	Fuels	Gaseous fuels	CNG			kWh (Net CV)	kg CO2e of N2O	0.00011
Scope 1	Fuels	Gaseous fuels	CNG			kWh (Gross CV)	kg CO2e	0.18254
Scope 1	Fuels	Gaseous fuels	CNG			kWh (Gross CV)	kg CO2e of CO2	0.18219
Scope 1	Fuels	Gaseous fuels	CNG			kWh (Gross CV)	kg CO2e of CH4	0.00025
Scope 1	Fuels	Gaseous fuels	CNG			kWh (Gross CV)	kg CO2e of N2O	0.00010
Scope 1	Fuels	Gaseous fuels	LNG			tonnes	kg CO2e	2559.17000
Scope 1	Fuels	Gaseous fuels	LNG			tonnes	kg CO2e of CO2	2554.39000
Scope 1	Fuels	Gaseous fuels	LNG			tonnes	kg CO2e of CH4	3.44000
Scope 1	Fuels	Gaseous fuels	LNG			tonnes	kg CO2e of N2O	1.34000
Scope 1	Fuels	Gaseous fuels	LNG			litres	kg CO2e	1.15800
Scope 1	Fuels	Gaseous fuels	LNG			litres	kg CO2e of CO2	1.15583
Scope 1	Fuels	Gaseous fuels	LNG			litres	kg CO2e of CH4	0.00156
Scope 1	Fuels	Gaseous fuels	LNG			litres	kg CO2e of N2O	0.00061
Scope 1	Fuels	Gaseous fuels	LNG			kWh (Net CV)	kg CO2e	0.20386
Scope 1	Fuels	Gaseous fuels	LNG			kWh (Net CV)	kg CO2e of CO2	0.20347
Scope 1	Fuels	Gaseous fuels	LNG			kWh (Net CV)	kg CO2e of CH4	0.00028
Scope 1	Fuels	Gaseous fuels	LNG			kWh (Net CV)	kg CO2e of N2O	0.00011
Scope 1	Fuels	Gaseous fuels	LNG			kWh (Gross CV)	kg CO2e	0.18397
Scope 1	Fuels	Gaseous fuels	LNG			kWh (Gross CV)	kg CO2e of CO2	0.18362
Scope 1	Fuels	Gaseous fuels	LNG			kWh (Gross CV)	kg CO2e of CH4	0.00025
Scope 1	Fuels	Gaseous fuels	LNG			kWh (Gross CV)	kg CO2e of N2O	0.00010
Scope 1	Fuels	Gaseous fuels	LPG			tonnes	kg CO2e	2939.29000
Scope 1	Fuels	Gaseous fuels	LPG			tonnes	kg CO2e of CO2	2935.18000
Scope 1	Fuels	Gaseous fuels	LPG			tonnes	kg CO2e of CH4	2.28000
Scope 1	Fuels	Gaseous fuels	LPG			tonnes	kg CO2e of N2O	1.83000
Scope 1	Fuels	Gaseous fuels	LPG			litres	kg CO2e	1.55709
Scope 1	Fuels	Gaseous fuels	LPG			litres	kg CO2e of CO2	1.55491
Scope 1	Fuels	Gaseous fuels	LPG			litres	kg CO2e of CH4	0.00121
Scope 1	Fuels	Gaseous fuels	LPG			litres	kg CO2e of N2O	0.00097
Scope 1	Fuels	Gaseous fuels	LPG			kWh (Net CV)	kg CO2e	0.23031
Scope 1	Fuels	Gaseous fuels	LPG			kWh (Net CV)	kg CO2e of CO2	0.22999
Scope 1	Fuels	Gaseous fuels	LPG			kWh (Net CV)	kg CO2e of CH4	0.00018
Scope 1	Fuels	Gaseous fuels	LPG			kWh (Net CV)	kg CO2e of N2O	0.00014
Scope 1	Fuels	Gaseous fuels	LPG			kWh (Gross CV)	kg CO2e	0.21449
Scope 1	Fuels	Gaseous fuels	LPG			kWh (Gross CV)	kg CO2e of CO2	0.21419
Scope 1	Fuels	Gaseous fuels	LPG			kWh (Gross CV)	kg CO2e of CH4	0.00017
Scope 1	Fuels	Gaseous fuels	LPG			kWh (Gross CV)	kg CO2e of N2O	0.00013
